State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier,Depreciation (INR),Depreciation %,Bike Age (Years)
West Bengal,45.28,Bajaj,Dominar 400,220098,2024,616,Hybrid,75.08,Second,2024,Not Available,Individual,103890.66,Tier 1,116207.34,52.79799907314015,0
West Bengal,17.74,Kawasaki,Vulcan S,241161,2021,382,Petrol,43.61,Third,2023,Expired,Dealer,152037.02,Tier 3,89123.98000000001,36.95621597190259,2
Madhya Pradesh,11.2,Bajaj,Platina 110,321541,2015,683,Hybrid,96.74,Third,2023,Not Available,Dealer,207379.4,Tier 2,114161.6,35.50452352888123,8
Punjab,26.81,Kawasaki,Z650,354157,2020,831,Petrol,50.04,Second,2024,Active,Individual,280800.95,Tier 3,73356.04999999999,20.712861809875278,4
Delhi,57.57,Yamaha,Ray ZR,306959,2022,462,Petrol,40.26,Third,2024,Not Available,Dealer,198526.38,Tier 1,108432.62,35.32478930410902,2
Tamil Nadu,31.99,Yamaha,FZ V3,231730,2015,110,Petrol,53.64,Third,2015,Not Available,Individual,170334.38,Tier 2,61395.619999999995,26.494463384110816,0
Maharashtra,56.16,Hero,Passion Pro,209379,2015,865,Electric,95.83,Second,2021,Expired,Individual,104398.25,Metro,104980.75,50.139101820144326,6
Punjab,25.4,Honda,CBR 650R,387255,2019,559,Hybrid,71.04,Third,2021,Not Available,Individual,296029.09,Tier 3,91225.90999999997,23.55706446656595,2
Madhya Pradesh,79.6,Honda,Shine,267558,2019,863,Electric,91.46,Second,2021,Not Available,Individual,168635.6,Metro,98922.4,36.97232002033204,2
Punjab,16.66,Honda,CBR 650R,199155,2022,468,Electric,98.38,Third,2024,Expired,Individual,100713.65,Tier 3,98441.35,49.42951469960584,2
Tamil Nadu,5.14,Hero,Glamour,221242,2024,884,Electric,91.19,Second,2024,Active,Individual,117896.76,Tier 2,103345.24,46.71140199419641,0
Madhya Pradesh,71.21,Royal Enfield,Classic 350,211394,2024,884,Hybrid,93.73,First,2024,Not Available,Dealer,161882.72,Tier 1,49511.28,23.42132700076634,0
Uttar Pradesh,77.74,Yamaha,FZ V3,206703,2022,608,Hybrid,86.09,Third,2024,Expired,Dealer,148367.47,Tier 3,58335.53,28.221907761377434,2
Karnataka,29.46,Royal Enfield,Hunter 350,245341,2017,710,Petrol,35.57,Third,2022,Not Available,Individual,119357.08,Tier 1,125983.92,51.350536600079074,5
Delhi,76.45,Bajaj,Dominar 400,302655,2018,941,Electric,96.69,Third,2020,Expired,Individual,202656.29,Tier 2,99998.70999999999,33.04049495299929,2
Rajasthan,57.39,TVS,NTorq 125,214668,2022,526,Petrol,50.91,First,2022,Not Available,Individual,93401.88,Tier 1,121266.12,56.490077701380734,0
Delhi,41.64,Royal Enfield,Interceptor 650,53439,2023,348,Petrol,51.73,First,2023,Not Available,Dealer,26529.83,Tier 2,26909.17,50.3549280488033,0
Maharashtra,78.03,Bajaj,CT 100,169164,2015,954,Petrol,27.25,Second,2022,Not Available,Individual,79750.91,Metro,89413.09,52.85586176727909,7
Maharashtra,54.75,Royal Enfield,Interceptor 650,389365,2017,397,Electric,82.67,Second,2018,Expired,Dealer,274526.18,Tier 2,114838.82,29.493873357903254,1
Uttar Pradesh,25.96,KTM,Duke 200,367461,2021,965,Electric,83.62,Third,2022,Not Available,Dealer,205069.53,Tier 1,162391.47,44.19284495497482,1
West Bengal,57.05,KTM,RC 390,399829,2024,686,Petrol,41.12,First,2024,Expired,Dealer,233155.41,Tier 1,166673.59,41.68621835834819,0
Madhya Pradesh,70.49,Honda,CBR 650R,151734,2020,708,Petrol,38.97,First,2020,Expired,Dealer,73726.41,Tier 2,78007.59,51.41075171022974,0
Delhi,56.75,KTM,250 Duke,197810,2021,114,Petrol,51.43,First,2021,Not Available,Dealer,126771.02,Metro,71038.98,35.91273444214145,0
Uttar Pradesh,60.88,Royal Enfield,Interceptor 650,354525,2020,424,Electric,97.9,Third,2024,Not Available,Individual,263273.76,Metro,91251.23999999999,25.73901417389465,4
Uttar Pradesh,73.87,Honda,Shine,314472,2020,835,Electric,71.58,First,2020,Active,Individual,181115.41,Tier 1,133356.59,42.4065067796179,0
Gujarat,34.27,Honda,CBR 650R,227879,2017,969,Electric,97.38,Third,2022,Expired,Dealer,106930.19,Tier 3,120948.81,53.07589115276089,5
Karnataka,20.35,Bajaj,CT 100,196884,2022,126,Hybrid,89.17,Third,2022,Active,Dealer,112148.05,Tier 3,84735.95,43.03851506470815,0
Madhya Pradesh,52.94,Kawasaki,Versys 650,399230,2019,597,Hybrid,72.08,Second,2020,Active,Dealer,270711.83,Tier 1,128518.16999999998,32.19151115898104,1
West Bengal,18.04,Yamaha,Ray ZR,114279,2016,738,Electric,71.57,Third,2023,Active,Dealer,82101.06,Tier 2,32177.940000000002,28.15735174441499,7
Maharashtra,19.89,Hero,Passion Pro,259225,2022,141,Hybrid,76.07,Third,2024,Expired,Dealer,163209.69,Tier 1,96015.31,37.0393712026232,2
Karnataka,12.13,Yamaha,Fascino 125,334467,2021,925,Electric,88.16,Second,2024,Active,Dealer,157389.1,Tier 1,177077.9,52.94330980335877,3
Maharashtra,57.66,Royal Enfield,Classic 350,389025,2017,951,Petrol,44.23,First,2017,Active,Individual,189147.72,Metro,199877.28,51.379032195874295,0
Punjab,41.43,KTM,250 Duke,391046,2022,590,Hybrid,93.04,Third,2022,Active,Dealer,306608.07,Tier 2,84437.93,21.59283818272019,0
Maharashtra,76.53,KTM,250 Duke,353400,2021,394,Electric,89.71,Third,2024,Expired,Dealer,256074.13,Tier 1,97325.87,27.53986134691567,3
West Bengal,39.17,Bajaj,Pulsar 150,104691,2015,164,Electric,84.0,Third,2020,Active,Individual,57554.67,Tier 3,47136.33,45.02424277158495,5
Maharashtra,26.76,Yamaha,FZ V3,180180,2018,854,Hybrid,96.58,Third,2024,Active,Dealer,114146.55,Metro,66033.45,36.6486013986014,6
Maharashtra,59.8,Honda,Activa,386478,2015,550,Hybrid,86.63,First,2015,Expired,Individual,166001.43,Metro,220476.57,57.047637899181844,0
Punjab,14.22,KTM,250 Duke,72124,2021,407,Petrol,46.73,Third,2023,Expired,Dealer,45442.25,Tier 3,26681.75,36.994273750762574,2
Uttar Pradesh,55.03,Kawasaki,Vulcan S,110493,2024,453,Hybrid,67.68,First,2024,Not Available,Dealer,51861.41,Tier 3,58631.59,53.0636239399781,0
Karnataka,40.25,Kawasaki,Versys 650,209439,2021,142,Petrol,30.1,First,2021,Expired,Individual,110721.04,Metro,98717.96,47.134468747463465,0
Tamil Nadu,14.44,Yamaha,Ray ZR,111177,2023,332,Hybrid,87.71,Third,2023,Expired,Dealer,54693.24,Tier 1,56483.76,50.805256482905634,0
Delhi,42.05,Honda,CBR 650R,188501,2018,697,Electric,71.87,Second,2018,Not Available,Individual,145573.63,Tier 3,42927.369999999995,22.773019771778397,0
Uttar Pradesh,79.99,Kawasaki,Ninja 400,390684,2020,529,Hybrid,69.0,Second,2021,Expired,Dealer,230644.65,Tier 2,160039.35,40.96388641459594,1
Tamil Nadu,32.08,Royal Enfield,Himalayan,243284,2016,473,Hybrid,93.22,Third,2024,Not Available,Individual,122840.85,Tier 2,120443.15,49.507222012133965,8
Delhi,60.36,Hero,Splendor Plus,383950,2024,964,Petrol,39.22,First,2024,Not Available,Individual,227872.17,Tier 3,156077.83,40.65056127099883,0
Delhi,13.87,Bajaj,Platina 110,214082,2020,583,Hybrid,66.67,Third,2022,Not Available,Individual,92856.2,Tier 2,121225.8,56.62587232929438,2
Karnataka,11.72,Bajaj,Avenger 220,133388,2018,710,Petrol,39.14,First,2018,Not Available,Dealer,89101.09,Tier 2,44286.91,33.2015698563589,0
West Bengal,76.34,Honda,Shine,130053,2017,853,Hybrid,99.06,Third,2017,Not Available,Dealer,102503.67,Metro,27549.33,21.18315609789855,0
West Bengal,6.09,Royal Enfield,Classic 350,205353,2023,302,Hybrid,68.78,Second,2024,Expired,Individual,113157.58,Tier 2,92195.42,44.89606677282533,1
Punjab,13.96,Honda,Shine,99936,2015,749,Petrol,39.05,First,2015,Active,Dealer,70757.89,Tier 1,29178.11,29.196795949407623,0
Punjab,35.37,Royal Enfield,Himalayan,191407,2020,366,Petrol,38.64,First,2020,Active,Individual,122448.21,Metro,68958.79,36.02730830115931,0
West Bengal,79.57,TVS,Apache RTR 160,172421,2022,268,Petrol,27.31,Third,2024,Active,Dealer,107347.08,Tier 1,65073.92,37.74129601382662,2
Tamil Nadu,64.25,Kawasaki,Ninja 400,328795,2024,839,Petrol,53.46,First,2024,Expired,Individual,251681.6,Metro,77113.4,23.453337185784452,0
Gujarat,14.25,Yamaha,FZ V3,228771,2020,786,Petrol,58.51,First,2020,Active,Individual,151958.28,Tier 2,76812.72,33.57624873782079,0
Uttar Pradesh,33.11,Royal Enfield,Hunter 350,351452,2019,360,Electric,70.71,Third,2020,Expired,Individual,212439.87,Tier 1,139012.13,39.55366024378863,1
Rajasthan,19.19,Royal Enfield,Interceptor 650,83095,2017,312,Petrol,45.62,Second,2024,Active,Dealer,53768.47,Tier 2,29326.53,35.292773331728746,7
Karnataka,69.81,Hero,HF Deluxe,242673,2018,943,Petrol,27.34,Third,2020,Expired,Dealer,182611.21,Tier 3,60061.79000000001,24.750091687167508,2
Maharashtra,62.39,TVS,Sport,393408,2018,765,Petrol,45.58,Third,2020,Expired,Dealer,194842.03,Tier 3,198565.97,50.47329235806084,2
Gujarat,40.23,Bajaj,Pulsar 150,249481,2019,591,Hybrid,66.37,Third,2019,Not Available,Individual,197351.48,Tier 3,52129.51999999999,20.895186406980887,0
Rajasthan,20.37,Kawasaki,Ninja 400,150499,2022,128,Petrol,46.32,Third,2024,Not Available,Dealer,70797.34,Tier 1,79701.66,52.958265503425274,2
Uttar Pradesh,72.2,Royal Enfield,Hunter 350,100849,2021,165,Electric,83.02,Second,2023,Expired,Dealer,53584.11,Metro,47264.89,46.86698926117264,2
Gujarat,51.57,Kawasaki,Vulcan S,205475,2015,176,Electric,72.43,First,2015,Active,Individual,161303.81,Metro,44171.19,21.4971115707507,0
Delhi,46.18,Royal Enfield,Interceptor 650,307046,2023,334,Electric,71.03,First,2023,Not Available,Individual,132516.39,Tier 1,174529.61,56.84151886036619,0
Maharashtra,46.56,TVS,Apache RTR 160,89452,2022,926,Petrol,29.73,Second,2023,Active,Individual,63769.97,Tier 1,25682.03,28.710403344810626,1
Rajasthan,55.4,Kawasaki,Ninja 400,144808,2018,136,Petrol,30.14,Second,2021,Active,Individual,86547.93,Metro,58260.07000000001,40.232632175017955,3
Gujarat,7.79,Kawasaki,Versys 650,178578,2017,407,Hybrid,73.95,Second,2024,Active,Dealer,135730.3,Tier 1,42847.70000000001,23.99382902709181,7
West Bengal,57.76,Royal Enfield,Hunter 350,392386,2015,426,Hybrid,84.38,Third,2017,Active,Individual,273883.15,Tier 3,118502.84999999998,30.200580550784174,2
Madhya Pradesh,12.0,Kawasaki,Vulcan S,227615,2022,951,Hybrid,73.85,Third,2024,Active,Dealer,120338.32,Tier 3,107276.68,47.13076027502581,2
West Bengal,60.83,Bajaj,Avenger 220,284594,2024,711,Electric,63.9,First,2024,Expired,Dealer,221537.82,Tier 1,63056.17999999999,22.156538788590062,0
Maharashtra,19.83,TVS,Apache RTR 160,133933,2018,928,Petrol,51.22,Third,2019,Active,Dealer,58435.28,Tier 1,75497.72,56.36976697303876,1
Uttar Pradesh,34.36,Royal Enfield,Meteor 350,118301,2019,276,Hybrid,91.85,First,2019,Active,Dealer,49282.32,Metro,69018.68,58.341586292592616,0
West Bengal,38.22,Yamaha,FZ V3,125768,2016,311,Electric,90.92,Third,2021,Active,Individual,76228.77,Tier 2,49539.229999999996,39.38937567584759,5
Punjab,13.65,TVS,NTorq 125,247189,2023,326,Electric,87.52,Third,2024,Expired,Individual,158681.71,Metro,88507.29000000001,35.80551319031187,1
Delhi,10.51,TVS,NTorq 125,163565,2018,159,Electric,77.46,Third,2024,Expired,Individual,87432.6,Tier 2,76132.4,46.545654632714815,6
Tamil Nadu,20.78,Honda,Unicorn,363572,2019,970,Electric,97.3,Second,2019,Expired,Dealer,170308.27,Tier 1,193263.73,53.15693452741136,0
Gujarat,61.5,Yamaha,Fascino 125,177408,2015,509,Hybrid,67.25,Second,2018,Expired,Dealer,99192.5,Tier 2,78215.5,44.08792162698413,3
Maharashtra,36.27,Hero,HF Deluxe,211628,2018,117,Petrol,30.44,Second,2020,Expired,Dealer,160249.37,Tier 1,51378.630000000005,24.2778035042622,2
Tamil Nadu,11.32,Hero,Xtreme 160R,252187,2018,895,Hybrid,81.84,First,2018,Expired,Individual,137845.88,Metro,114341.12,45.339815295792405,0
Uttar Pradesh,21.93,Royal Enfield,Interceptor 650,317223,2017,717,Petrol,45.12,Second,2021,Expired,Individual,247318.41,Tier 3,69904.59,22.036419175154386,4
Uttar Pradesh,59.12,Yamaha,Ray ZR,85340,2018,837,Electric,87.45,Third,2018,Not Available,Individual,46488.09,Tier 3,38851.91,45.52602531052262,0
Gujarat,20.27,Yamaha,R15 V4,280899,2021,308,Electric,88.68,Second,2022,Not Available,Dealer,118779.67,Tier 2,162119.33000000002,57.714456085639334,1
Madhya Pradesh,67.74,TVS,NTorq 125,343323,2015,844,Electric,66.04,Third,2023,Not Available,Dealer,141063.35,Metro,202259.65,58.91235076007142,8
Uttar Pradesh,61.72,TVS,NTorq 125,338595,2023,985,Hybrid,78.76,First,2023,Active,Dealer,256888.1,Tier 2,81706.9,24.131159645003617,0
Punjab,29.54,Royal Enfield,Meteor 350,156062,2018,836,Petrol,41.42,First,2018,Active,Dealer,68294.08,Tier 3,87767.92,56.23913572810806,0
Rajasthan,24.13,KTM,250 Duke,141361,2016,876,Hybrid,96.66,Second,2022,Active,Dealer,70237.79,Metro,71123.21,50.31317690169141,6
Maharashtra,8.19,Bajaj,Platina 110,289835,2018,884,Petrol,52.0,Third,2019,Active,Dealer,157476.64,Tier 2,132358.36,45.66679662566632,1
Punjab,13.32,KTM,250 Duke,259175,2023,801,Electric,85.77,Second,2024,Expired,Individual,103944.11,Tier 3,155230.89,59.89423748432527,1
Karnataka,26.59,Royal Enfield,Himalayan,349028,2019,459,Electric,75.7,Third,2021,Not Available,Dealer,234521.51,Metro,114506.48999999999,32.80725042116965,2
Gujarat,7.46,Bajaj,Pulsar 150,333441,2016,307,Petrol,39.05,First,2016,Active,Individual,167548.72,Tier 3,165892.28,49.75161422860416,0
Gujarat,5.43,KTM,Duke 200,234378,2020,548,Electric,74.41,Second,2022,Active,Dealer,140286.9,Tier 3,94091.1,40.14502214371657,2
Gujarat,5.7,Bajaj,Pulsar 150,207357,2023,632,Electric,77.37,First,2023,Active,Dealer,145275.17,Tier 1,62081.82999999999,29.9395872818376,0
Maharashtra,27.08,Honda,Activa,322367,2017,543,Hybrid,63.75,Third,2019,Not Available,Individual,212859.55,Tier 1,109507.45000000001,33.969807703642125,2
West Bengal,33.31,KTM,390 Adventure,313223,2018,528,Electric,97.47,Second,2018,Active,Dealer,215654.92,Tier 2,97568.07999999999,31.1497176133298,0
Delhi,60.42,Yamaha,R15 V4,357737,2015,589,Petrol,44.01,First,2015,Not Available,Individual,275163.09,Tier 1,82573.90999999997,23.08229509388181,0
Rajasthan,32.79,Bajaj,Dominar 400,361805,2022,975,Electric,70.64,Third,2023,Active,Individual,264542.65,Tier 2,97262.34999999998,26.882533408880466,1
Rajasthan,25.03,Yamaha,Ray ZR,81936,2020,609,Petrol,43.34,First,2020,Not Available,Individual,37073.82,Metro,44862.18,54.75270943175161,0
Punjab,46.89,Royal Enfield,Himalayan,139189,2019,838,Electric,62.77,Second,2024,Active,Individual,66937.35,Tier 2,72251.65,51.90902298313803,5
Uttar Pradesh,26.36,Bajaj,Avenger 220,196014,2023,808,Hybrid,75.43,Second,2023,Expired,Dealer,89659.12,Tier 1,106354.88,54.25881824767619,0
Karnataka,75.4,Kawasaki,Versys 650,212472,2020,877,Electric,80.26,First,2020,Not Available,Individual,159200.56,Tier 3,53271.44,25.07221657441922,0
West Bengal,51.92,KTM,125 Duke,181106,2020,858,Hybrid,83.68,First,2020,Not Available,Dealer,109869.48,Tier 1,71236.52,39.33415789648051,0
Tamil Nadu,52.06,Royal Enfield,Classic 350,70807,2024,169,Electric,79.0,Second,2024,Expired,Dealer,40452.4,Tier 3,30354.6,42.8694903046309,0
Gujarat,45.16,Kawasaki,Versys 650,102397,2016,150,Electric,72.63,Second,2020,Expired,Dealer,81037.73,Metro,21359.270000000004,20.859273220895147,4
West Bengal,24.07,Bajaj,Platina 110,57220,2021,158,Electric,80.25,Third,2021,Not Available,Dealer,45483.9,Tier 3,11736.099999999999,20.51048584411045,0
Punjab,66.36,Kawasaki,Vulcan S,54828,2018,774,Petrol,46.74,Third,2022,Not Available,Individual,40386.88,Tier 2,14441.120000000003,26.338950900999492,4
Rajasthan,50.64,TVS,Jupiter,280337,2024,267,Hybrid,80.99,First,2024,Not Available,Individual,121731.66,Metro,158605.34,56.576670221911485,0
Uttar Pradesh,68.12,TVS,Jupiter,196018,2023,621,Electric,97.43,Second,2023,Expired,Dealer,134258.46,Metro,61759.54000000001,31.507075880786463,0
Punjab,28.29,KTM,390 Adventure,305445,2021,990,Petrol,58.09,Second,2023,Not Available,Individual,164604.87,Tier 1,140840.13,46.109816824632915,2
Delhi,25.76,Royal Enfield,Interceptor 650,278263,2021,489,Electric,66.41,Second,2021,Active,Individual,118830.72,Tier 1,159432.28,57.295536956045176,0
Karnataka,21.84,Hero,Glamour,321534,2023,467,Petrol,44.99,Third,2023,Not Available,Individual,144562.07,Tier 3,176971.93,55.039880696909194,0
Karnataka,26.1,Bajaj,Pulsar 150,321292,2018,999,Hybrid,67.37,First,2018,Expired,Individual,170013.56,Tier 1,151278.44,47.08440919786362,0
Maharashtra,60.71,Yamaha,FZ V3,107555,2017,423,Hybrid,71.38,First,2017,Expired,Individual,75513.54,Tier 2,32041.460000000006,29.79076751429502,0
West Bengal,64.93,Kawasaki,Vulcan S,194445,2015,272,Petrol,44.43,Third,2019,Expired,Individual,142785.8,Metro,51659.20000000001,26.567512664249538,4
Madhya Pradesh,13.95,Honda,Dio,103076,2019,364,Petrol,49.85,Third,2024,Expired,Dealer,77827.42,Tier 1,25248.58,24.49511040397377,5
Karnataka,41.61,Kawasaki,Ninja 300,255454,2016,280,Petrol,31.55,Third,2017,Expired,Individual,185155.65,Metro,70298.35,27.518985805663643,1
Rajasthan,68.27,Honda,Dio,64158,2021,673,Electric,78.55,Second,2024,Not Available,Dealer,44562.37,Metro,19595.629999999997,30.542769413011623,3
Madhya Pradesh,22.99,Hero,Glamour,342454,2015,998,Petrol,30.31,Second,2020,Expired,Dealer,158383.71,Metro,184070.29,53.750369392677555,5
West Bengal,48.65,Bajaj,Pulsar 150,260387,2024,113,Electric,95.94,Third,2024,Not Available,Individual,205280.82,Tier 1,55106.17999999999,21.163184029924686,0
Delhi,46.25,Hero,Passion Pro,135690,2022,743,Hybrid,69.18,Third,2023,Not Available,Dealer,88580.31,Tier 1,47109.69,34.71861596285651,1
Rajasthan,15.84,Honda,Activa,267930,2022,275,Petrol,50.15,Second,2024,Expired,Individual,121104.91,Tier 2,146825.09,54.79979472250215,2
Tamil Nadu,45.96,KTM,RC 390,300839,2018,423,Hybrid,83.53,Third,2018,Expired,Dealer,158320.61,Tier 1,142518.39,47.37364171533611,0
Gujarat,74.24,Hero,Glamour,212483,2021,665,Hybrid,70.63,Second,2023,Active,Individual,105147.43,Tier 3,107335.57,50.514897662401225,2
Karnataka,35.34,Bajaj,CT 100,135841,2015,733,Electric,83.17,Second,2015,Not Available,Individual,64899.18,Metro,70941.82,52.22415912721491,0
Uttar Pradesh,71.1,KTM,Duke 200,293590,2017,219,Electric,89.14,Second,2022,Expired,Individual,126972.8,Tier 2,166617.2,56.75166047889915,5
Uttar Pradesh,65.0,Royal Enfield,Classic 350,320238,2021,369,Petrol,44.16,First,2021,Not Available,Dealer,207015.22,Tier 3,113222.78,35.355822856750294,0
Karnataka,62.34,Hero,Xtreme 160R,55319,2015,128,Hybrid,72.55,Second,2016,Expired,Dealer,24908.06,Tier 1,30410.94,54.973770313996994,1
Gujarat,69.35,TVS,Ronin,246733,2024,309,Hybrid,81.34,Second,2024,Active,Individual,192903.52,Tier 1,53829.48000000001,21.816895186294502,0
Punjab,26.48,Royal Enfield,Hunter 350,305432,2019,170,Petrol,56.81,First,2019,Active,Individual,234236.62,Tier 2,71195.38,23.30973178972734,0
Uttar Pradesh,71.75,Honda,Dio,292530,2017,686,Petrol,57.85,Third,2020,Expired,Individual,214277.95,Tier 2,78252.04999999999,26.750094007452223,3
Punjab,10.51,Yamaha,R15 V4,243103,2022,753,Hybrid,74.31,First,2022,Expired,Dealer,138146.77,Tier 3,104956.23000000001,43.17356429167884,0
Gujarat,73.67,TVS,Jupiter,172817,2022,438,Hybrid,75.78,Third,2022,Expired,Dealer,84359.21,Tier 1,88457.79,51.18581505291725,0
Tamil Nadu,72.46,Yamaha,MT-15,291834,2024,389,Hybrid,75.62,Third,2024,Not Available,Dealer,137388.81,Metro,154445.19,52.92227430662637,0
Gujarat,48.04,Royal Enfield,Interceptor 650,222350,2020,268,Electric,84.72,Third,2021,Active,Dealer,157645.27,Tier 2,64704.73000000001,29.100395772430858,1
Rajasthan,69.04,TVS,Sport,346142,2019,513,Petrol,49.33,Third,2019,Expired,Dealer,256642.58,Tier 3,89499.42000000001,25.856272859115627,0
Tamil Nadu,21.09,Royal Enfield,Meteor 350,167608,2016,684,Electric,76.4,Third,2016,Active,Individual,70063.68,Tier 3,97544.32,58.19789031549807,0
Uttar Pradesh,64.04,Honda,Shine,101976,2016,123,Petrol,28.79,First,2016,Not Available,Individual,61411.83,Tier 3,40564.17,39.77815368321958,0
West Bengal,61.44,Honda,Unicorn,78817,2020,971,Electric,92.75,Second,2023,Not Available,Dealer,33793.86,Metro,45023.14,57.12364083890531,3
Gujarat,51.9,Bajaj,Avenger 220,137263,2023,678,Hybrid,75.32,Second,2024,Not Available,Individual,82611.32,Tier 1,54651.67999999999,39.81530346852392,1
Madhya Pradesh,6.34,TVS,NTorq 125,261882,2020,821,Electric,84.07,First,2020,Expired,Individual,130018.31,Metro,131863.69,50.35233043889996,0
Punjab,7.13,Yamaha,Ray ZR,381238,2017,453,Hybrid,85.09,Third,2022,Not Available,Individual,258589.2,Metro,122648.79999999999,32.17118965055949,5
West Bengal,8.29,TVS,Sport,76449,2019,885,Petrol,47.14,First,2019,Active,Individual,49879.15,Tier 3,26569.85,34.75500006540308,0
Delhi,43.77,KTM,Duke 200,377333,2017,144,Hybrid,65.12,Third,2022,Not Available,Individual,255886.03,Tier 1,121446.97,32.1856211887113,5
Madhya Pradesh,62.79,KTM,125 Duke,142698,2015,398,Petrol,28.92,Third,2024,Active,Dealer,112153.11,Tier 2,30544.89,21.40526846907455,9
Maharashtra,16.92,Bajaj,Dominar 400,78804,2023,845,Hybrid,96.52,Third,2023,Active,Dealer,44945.49,Tier 3,33858.51,42.96547129587331,0
Delhi,58.5,Honda,Shine,103725,2019,964,Electric,87.7,Second,2020,Active,Dealer,62682.01,Tier 1,41042.99,39.569043142926006,1
Punjab,46.17,TVS,NTorq 125,268586,2020,904,Hybrid,85.93,Third,2020,Not Available,Individual,179144.36,Metro,89441.64000000001,33.300931545203404,0
Tamil Nadu,24.53,Bajaj,Pulsar 150,100144,2018,881,Hybrid,76.28,Second,2019,Active,Individual,55818.84,Metro,44325.16,44.261423550087876,1
Punjab,49.47,Kawasaki,Ninja 300,58114,2020,227,Petrol,43.79,Second,2023,Not Available,Dealer,25567.09,Metro,32546.91,56.005282720170705,3
Karnataka,35.97,Yamaha,Ray ZR,338185,2016,924,Electric,91.65,First,2016,Active,Dealer,210491.97,Tier 3,127693.03,37.75833641350149,0
Karnataka,38.47,Royal Enfield,Interceptor 650,347115,2024,330,Electric,90.16,Third,2024,Active,Dealer,209420.64,Tier 1,137694.36,39.66822522795039,0
Punjab,26.68,Bajaj,CT 100,349108,2023,954,Hybrid,74.74,Second,2023,Not Available,Dealer,254974.76,Tier 3,94133.23999999999,26.96393093254809,0
Punjab,42.34,Kawasaki,Z650,161445,2017,703,Hybrid,75.28,First,2017,Expired,Dealer,67576.23,Tier 1,93868.77,58.142878379633935,0
Gujarat,64.38,TVS,Jupiter,169146,2016,286,Hybrid,65.66,Second,2021,Expired,Dealer,91839.96,Tier 3,77306.04,45.70373523464935,5
Gujarat,63.53,Bajaj,Dominar 400,222468,2020,305,Hybrid,61.34,First,2020,Not Available,Dealer,89241.4,Tier 1,133226.6,59.88573637556862,0
Uttar Pradesh,69.35,Yamaha,Ray ZR,338022,2024,770,Hybrid,91.11,First,2024,Not Available,Dealer,183477.34,Metro,154544.66,45.72029631207437,0
Tamil Nadu,75.66,Yamaha,MT-15,113842,2022,743,Petrol,49.31,Third,2024,Not Available,Individual,74937.72,Tier 1,38904.28,34.17392526484074,2
Madhya Pradesh,42.96,Kawasaki,Vulcan S,194965,2015,574,Petrol,52.48,First,2015,Expired,Dealer,108350.79,Tier 3,86614.21,44.42551740055908,0
Delhi,45.88,Yamaha,FZ V3,256201,2022,263,Hybrid,79.71,First,2022,Active,Individual,111077.71,Metro,145123.28999999998,56.64431052181684,0
Madhya Pradesh,34.4,Bajaj,Platina 110,264825,2016,121,Petrol,31.75,First,2016,Not Available,Individual,135813.68,Tier 3,129011.32,48.715687718304544,0
Gujarat,64.59,KTM,250 Duke,327767,2017,950,Petrol,41.51,Second,2021,Expired,Individual,232487.38,Tier 3,95279.62,29.069314482544,4
Punjab,10.49,KTM,125 Duke,154031,2023,312,Hybrid,96.42,Second,2023,Expired,Dealer,106303.81,Tier 1,47727.19,30.985444488447133,0
West Bengal,74.92,Hero,Glamour,102025,2023,173,Hybrid,93.23,Second,2024,Expired,Individual,53694.45,Tier 2,48330.55,47.37128154864004,1
Tamil Nadu,72.79,Hero,Xtreme 160R,255014,2017,512,Electric,84.19,Second,2019,Active,Individual,175449.23,Tier 1,79564.76999999999,31.200157638404164,2
Tamil Nadu,65.94,Kawasaki,Versys 650,267420,2018,551,Electric,70.7,Second,2023,Not Available,Individual,169538.3,Tier 3,97881.70000000001,36.60223618278364,5
Madhya Pradesh,58.29,Hero,Passion Pro,356491,2024,600,Petrol,44.85,Third,2024,Expired,Dealer,234359.11,Tier 1,122131.89000000001,34.25945956559914,0
Gujarat,46.8,Kawasaki,Ninja 300,50255,2021,668,Electric,90.13,Third,2023,Active,Individual,35798.05,Metro,14456.949999999997,28.767187344542826,2
Madhya Pradesh,52.76,Kawasaki,Z650,350861,2016,284,Petrol,41.96,Second,2020,Not Available,Individual,221638.56,Tier 1,129222.44,36.830095108889275,4
Maharashtra,27.66,Royal Enfield,Himalayan,78017,2017,675,Electric,70.37,Second,2019,Not Available,Individual,33234.84,Tier 3,44782.16,57.40051527231245,2
West Bengal,68.08,Honda,Unicorn,182228,2018,346,Hybrid,81.25,Second,2018,Active,Dealer,80726.79,Metro,101501.21,55.70011743530083,0
Rajasthan,40.11,Hero,Xtreme 160R,282786,2019,962,Hybrid,84.28,Third,2020,Active,Individual,159718.72,Tier 3,123067.28,43.51958017723649,1
Rajasthan,58.51,Bajaj,Dominar 400,80140,2024,879,Petrol,58.14,Third,2024,Not Available,Dealer,33428.1,Tier 1,46711.9,58.28787122535562,0
Gujarat,48.88,TVS,Sport,190162,2018,570,Hybrid,86.54,Third,2021,Expired,Dealer,84586.16,Tier 2,105575.84,55.51889441633975,3
